Lab Name,Location,Discount,Description,Facility Name,Facility Link,URL
City X-ray and Scan Clinic -Tilak Nagar,"5A/34, Tilak Nagar, New Delhi 110018",Get 20-35% Discount & Cashback,"City X Ray & Scan Clinic is the one of the renowned Pvt. Diagnostic set up in  Delhi since last over two decades. It covers complete range of diagnostic investigations for Pathology, Radiology, Cardiology & Neurology departments all under one roof.
The City XRay and Scan clinic has been leader in Diagnostic industry through quality service, regular up gradation with latest technology & new innovations.
All our main Hubs (Tilak Nagar, Dwarka & VikasPuri) are accredited by NABL & NABH for all departments including PCR lab which clearly highlights and reaffirms our faith in accuracy of test results. Apart from this we are associated with various quality conscious associations like VILAC, A.P.P etc. Our test Quality is strictly checked and controlled by a team of experienced doctors, well trained technicians and quality managers.
Besides the above hubs, we have well equipped City XRay branches in  Janak Puri, Hari Nagar, Palam Colony, Naraina Vihar and Vishnu Garden.
City X Ray & Scan Clinic (CXR) is an organization that is committed to providing doorstep Radiology & Pathology services to healthcare providers at an affordable cost.
City X-Ray and Scan Clinic is been awarded with very Prestigious Award for Best Diagnostic Center In Delhi Ncr from Times Group.
City X Ray clinic have good network and reach they have several branches amoung Delhi and their contact numbers for online booking are as following : 


1. City Xray Lab Tilak Nagar  Contact Number : 9319119574 
2. City Xray Lab Janakpuri Contact Number : 9319119574
3. City Xray Lab Vikaspuri Contact Number : 9319119574
4. City Xray Lab Naraina Contact Number : 9319119574
5. City Xray Lab Dwarka Contact Number : 9319119574
6. City Xray Lab Paschim Vihar Contact Number : 9319119574
8. City Xray Lab Najafgarh Contact Number : 9319119574
9. City Xray Lab Palam Contact Number : 9319119574
10. City Xray Lab Hari Nagar Contact Number : 9319119574",ANGIOGRAPHY,https://www.labuncle.com/ctg/angiography/lab/city-x-ray-and-scan-clinic-tilak-nagar-1,https://www.labuncle.com/labDetails/city-x-ray-and-scan-clinic-tilak-nagar-1
City X-ray and Scan Clinic -Tilak Nagar,"5A/34, Tilak Nagar, New Delhi 110018",Get 20-35% Discount & Cashback,"City X Ray & Scan Clinic is the one of the renowned Pvt. Diagnostic set up in  Delhi since last over two decades. It covers complete range of diagnostic investigations for Pathology, Radiology, Cardiology & Neurology departments all under one roof.
The City XRay and Scan clinic has been leader in Diagnostic industry through quality service, regular up gradation with latest technology & new innovations.
All our main Hubs (Tilak Nagar, Dwarka & VikasPuri) are accredited by NABL & NABH for all departments including PCR lab which clearly highlights and reaffirms our faith in accuracy of test results. Apart from this we are associated with various quality conscious associations like VILAC, A.P.P etc. Our test Quality is strictly checked and controlled by a team of experienced doctors, well trained technicians and quality managers.
Besides the above hubs, we have well equipped City XRay branches in  Janak Puri, Hari Nagar, Palam Colony, Naraina Vihar and Vishnu Garden.
City X Ray & Scan Clinic (CXR) is an organization that is committed to providing doorstep Radiology & Pathology services to healthcare providers at an affordable cost.
City X-Ray and Scan Clinic is been awarded with very Prestigious Award for Best Diagnostic Center In Delhi Ncr from Times Group.
City X Ray clinic have good network and reach they have several branches amoung Delhi and their contact numbers for online booking are as following : 


1. City Xray Lab Tilak Nagar  Contact Number : 9319119574 
2. City Xray Lab Janakpuri Contact Number : 9319119574
3. City Xray Lab Vikaspuri Contact Number : 9319119574
4. City Xray Lab Naraina Contact Number : 9319119574
5. City Xray Lab Dwarka Contact Number : 9319119574
6. City Xray Lab Paschim Vihar Contact Number : 9319119574
8. City Xray Lab Najafgarh Contact Number : 9319119574
9. City Xray Lab Palam Contact Number : 9319119574
10. City Xray Lab Hari Nagar Contact Number : 9319119574",BLOODTEST,https://www.labuncle.com/ctg/bloodtest/lab/city-x-ray-and-scan-clinic-tilak-nagar-1,https://www.labuncle.com/labDetails/city-x-ray-and-scan-clinic-tilak-nagar-1
City X-ray and Scan Clinic -Tilak Nagar,"5A/34, Tilak Nagar, New Delhi 110018",Get 20-35% Discount & Cashback,"City X Ray & Scan Clinic is the one of the renowned Pvt. Diagnostic set up in  Delhi since last over two decades. It covers complete range of diagnostic investigations for Pathology, Radiology, Cardiology & Neurology departments all under one roof.
The City XRay and Scan clinic has been leader in Diagnostic industry through quality service, regular up gradation with latest technology & new innovations.
All our main Hubs (Tilak Nagar, Dwarka & VikasPuri) are accredited by NABL & NABH for all departments including PCR lab which clearly highlights and reaffirms our faith in accuracy of test results. Apart from this we are associated with various quality conscious associations like VILAC, A.P.P etc. Our test Quality is strictly checked and controlled by a team of experienced doctors, well trained technicians and quality managers.
Besides the above hubs, we have well equipped City XRay branches in  Janak Puri, Hari Nagar, Palam Colony, Naraina Vihar and Vishnu Garden.
City X Ray & Scan Clinic (CXR) is an organization that is committed to providing doorstep Radiology & Pathology services to healthcare providers at an affordable cost.
City X-Ray and Scan Clinic is been awarded with very Prestigious Award for Best Diagnostic Center In Delhi Ncr from Times Group.
City X Ray clinic have good network and reach they have several branches amoung Delhi and their contact numbers for online booking are as following : 


1. City Xray Lab Tilak Nagar  Contact Number : 9319119574 
2. City Xray Lab Janakpuri Contact Number : 9319119574
3. City Xray Lab Vikaspuri Contact Number : 9319119574
4. City Xray Lab Naraina Contact Number : 9319119574
5. City Xray Lab Dwarka Contact Number : 9319119574
6. City Xray Lab Paschim Vihar Contact Number : 9319119574
8. City Xray Lab Najafgarh Contact Number : 9319119574
9. City Xray Lab Palam Contact Number : 9319119574
10. City Xray Lab Hari Nagar Contact Number : 9319119574",CBCT,https://www.labuncle.com/ctg/cbct/lab/city-x-ray-and-scan-clinic-tilak-nagar-1,https://www.labuncle.com/labDetails/city-x-ray-and-scan-clinic-tilak-nagar-1
City X-ray and Scan Clinic -Tilak Nagar,"5A/34, Tilak Nagar, New Delhi 110018",Get 20-35% Discount & Cashback,"City X Ray & Scan Clinic is the one of the renowned Pvt. Diagnostic set up in  Delhi since last over two decades. It covers complete range of diagnostic investigations for Pathology, Radiology, Cardiology & Neurology departments all under one roof.
The City XRay and Scan clinic has been leader in Diagnostic industry through quality service, regular up gradation with latest technology & new innovations.
All our main Hubs (Tilak Nagar, Dwarka & VikasPuri) are accredited by NABL & NABH for all departments including PCR lab which clearly highlights and reaffirms our faith in accuracy of test results. Apart from this we are associated with various quality conscious associations like VILAC, A.P.P etc. Our test Quality is strictly checked and controlled by a team of experienced doctors, well trained technicians and quality managers.
Besides the above hubs, we have well equipped City XRay branches in  Janak Puri, Hari Nagar, Palam Colony, Naraina Vihar and Vishnu Garden.
City X Ray & Scan Clinic (CXR) is an organization that is committed to providing doorstep Radiology & Pathology services to healthcare providers at an affordable cost.
City X-Ray and Scan Clinic is been awarded with very Prestigious Award for Best Diagnostic Center In Delhi Ncr from Times Group.
City X Ray clinic have good network and reach they have several branches amoung Delhi and their contact numbers for online booking are as following : 


1. City Xray Lab Tilak Nagar  Contact Number : 9319119574 
2. City Xray Lab Janakpuri Contact Number : 9319119574
3. City Xray Lab Vikaspuri Contact Number : 9319119574
4. City Xray Lab Naraina Contact Number : 9319119574
5. City Xray Lab Dwarka Contact Number : 9319119574
6. City Xray Lab Paschim Vihar Contact Number : 9319119574
8. City Xray Lab Najafgarh Contact Number : 9319119574
9. City Xray Lab Palam Contact Number : 9319119574
10. City Xray Lab Hari Nagar Contact Number : 9319119574",CTSCAN,https://www.labuncle.com/ctg/ctscan/lab/city-x-ray-and-scan-clinic-tilak-nagar-1,https://www.labuncle.com/labDetails/city-x-ray-and-scan-clinic-tilak-nagar-1
City X-ray and Scan Clinic -Tilak Nagar,"5A/34, Tilak Nagar, New Delhi 110018",Get 20-35% Discount & Cashback,"City X Ray & Scan Clinic is the one of the renowned Pvt. Diagnostic set up in  Delhi since last over two decades. It covers complete range of diagnostic investigations for Pathology, Radiology, Cardiology & Neurology departments all under one roof.
The City XRay and Scan clinic has been leader in Diagnostic industry through quality service, regular up gradation with latest technology & new innovations.
All our main Hubs (Tilak Nagar, Dwarka & VikasPuri) are accredited by NABL & NABH for all departments including PCR lab which clearly highlights and reaffirms our faith in accuracy of test results. Apart from this we are associated with various quality conscious associations like VILAC, A.P.P etc. Our test Quality is strictly checked and controlled by a team of experienced doctors, well trained technicians and quality managers.
Besides the above hubs, we have well equipped City XRay branches in  Janak Puri, Hari Nagar, Palam Colony, Naraina Vihar and Vishnu Garden.
City X Ray & Scan Clinic (CXR) is an organization that is committed to providing doorstep Radiology & Pathology services to healthcare providers at an affordable cost.
City X-Ray and Scan Clinic is been awarded with very Prestigious Award for Best Diagnostic Center In Delhi Ncr from Times Group.
City X Ray clinic have good network and reach they have several branches amoung Delhi and their contact numbers for online booking are as following : 


1. City Xray Lab Tilak Nagar  Contact Number : 9319119574 
2. City Xray Lab Janakpuri Contact Number : 9319119574
3. City Xray Lab Vikaspuri Contact Number : 9319119574
4. City Xray Lab Naraina Contact Number : 9319119574
5. City Xray Lab Dwarka Contact Number : 9319119574
6. City Xray Lab Paschim Vihar Contact Number : 9319119574
8. City Xray Lab Najafgarh Contact Number : 9319119574
9. City Xray Lab Palam Contact Number : 9319119574
10. City Xray Lab Hari Nagar Contact Number : 9319119574",DEXA,https://www.labuncle.com/ctg/dexa/lab/city-x-ray-and-scan-clinic-tilak-nagar-1,https://www.labuncle.com/labDetails/city-x-ray-and-scan-clinic-tilak-nagar-1
City X-ray and Scan Clinic -Tilak Nagar,"5A/34, Tilak Nagar, New Delhi 110018",Get 20-35% Discount & Cashback,"City X Ray & Scan Clinic is the one of the renowned Pvt. Diagnostic set up in  Delhi since last over two decades. It covers complete range of diagnostic investigations for Pathology, Radiology, Cardiology & Neurology departments all under one roof.
The City XRay and Scan clinic has been leader in Diagnostic industry through quality service, regular up gradation with latest technology & new innovations.
All our main Hubs (Tilak Nagar, Dwarka & VikasPuri) are accredited by NABL & NABH for all departments including PCR lab which clearly highlights and reaffirms our faith in accuracy of test results. Apart from this we are associated with various quality conscious associations like VILAC, A.P.P etc. Our test Quality is strictly checked and controlled by a team of experienced doctors, well trained technicians and quality managers.
Besides the above hubs, we have well equipped City XRay branches in  Janak Puri, Hari Nagar, Palam Colony, Naraina Vihar and Vishnu Garden.
City X Ray & Scan Clinic (CXR) is an organization that is committed to providing doorstep Radiology & Pathology services to healthcare providers at an affordable cost.
City X-Ray and Scan Clinic is been awarded with very Prestigious Award for Best Diagnostic Center In Delhi Ncr from Times Group.
City X Ray clinic have good network and reach they have several branches amoung Delhi and their contact numbers for online booking are as following : 


1. City Xray Lab Tilak Nagar  Contact Number : 9319119574 
2. City Xray Lab Janakpuri Contact Number : 9319119574
3. City Xray Lab Vikaspuri Contact Number : 9319119574
4. City Xray Lab Naraina Contact Number : 9319119574
5. City Xray Lab Dwarka Contact Number : 9319119574
6. City Xray Lab Paschim Vihar Contact Number : 9319119574
8. City Xray Lab Najafgarh Contact Number : 9319119574
9. City Xray Lab Palam Contact Number : 9319119574
10. City Xray Lab Hari Nagar Contact Number : 9319119574",DOPPLER,https://www.labuncle.com/ctg/doppler/lab/city-x-ray-and-scan-clinic-tilak-nagar-1,https://www.labuncle.com/labDetails/city-x-ray-and-scan-clinic-tilak-nagar-1
City X-ray and Scan Clinic -Tilak Nagar,"5A/34, Tilak Nagar, New Delhi 110018",Get 20-35% Discount & Cashback,"City X Ray & Scan Clinic is the one of the renowned Pvt. Diagnostic set up in  Delhi since last over two decades. It covers complete range of diagnostic investigations for Pathology, Radiology, Cardiology & Neurology departments all under one roof.
The City XRay and Scan clinic has been leader in Diagnostic industry through quality service, regular up gradation with latest technology & new innovations.
All our main Hubs (Tilak Nagar, Dwarka & VikasPuri) are accredited by NABL & NABH for all departments including PCR lab which clearly highlights and reaffirms our faith in accuracy of test results. Apart from this we are associated with various quality conscious associations like VILAC, A.P.P etc. Our test Quality is strictly checked and controlled by a team of experienced doctors, well trained technicians and quality managers.
Besides the above hubs, we have well equipped City XRay branches in  Janak Puri, Hari Nagar, Palam Colony, Naraina Vihar and Vishnu Garden.
City X Ray & Scan Clinic (CXR) is an organization that is committed to providing doorstep Radiology & Pathology services to healthcare providers at an affordable cost.
City X-Ray and Scan Clinic is been awarded with very Prestigious Award for Best Diagnostic Center In Delhi Ncr from Times Group.
City X Ray clinic have good network and reach they have several branches amoung Delhi and their contact numbers for online booking are as following : 


1. City Xray Lab Tilak Nagar  Contact Number : 9319119574 
2. City Xray Lab Janakpuri Contact Number : 9319119574
3. City Xray Lab Vikaspuri Contact Number : 9319119574
4. City Xray Lab Naraina Contact Number : 9319119574
5. City Xray Lab Dwarka Contact Number : 9319119574
6. City Xray Lab Paschim Vihar Contact Number : 9319119574
8. City Xray Lab Najafgarh Contact Number : 9319119574
9. City Xray Lab Palam Contact Number : 9319119574
10. City Xray Lab Hari Nagar Contact Number : 9319119574",ECHO,https://www.labuncle.com/ctg/echo/lab/city-x-ray-and-scan-clinic-tilak-nagar-1,https://www.labuncle.com/labDetails/city-x-ray-and-scan-clinic-tilak-nagar-1
City X-ray and Scan Clinic -Tilak Nagar,"5A/34, Tilak Nagar, New Delhi 110018",Get 20-35% Discount & Cashback,"City X Ray & Scan Clinic is the one of the renowned Pvt. Diagnostic set up in  Delhi since last over two decades. It covers complete range of diagnostic investigations for Pathology, Radiology, Cardiology & Neurology departments all under one roof.
The City XRay and Scan clinic has been leader in Diagnostic industry through quality service, regular up gradation with latest technology & new innovations.
All our main Hubs (Tilak Nagar, Dwarka & VikasPuri) are accredited by NABL & NABH for all departments including PCR lab which clearly highlights and reaffirms our faith in accuracy of test results. Apart from this we are associated with various quality conscious associations like VILAC, A.P.P etc. Our test Quality is strictly checked and controlled by a team of experienced doctors, well trained technicians and quality managers.
Besides the above hubs, we have well equipped City XRay branches in  Janak Puri, Hari Nagar, Palam Colony, Naraina Vihar and Vishnu Garden.
City X Ray & Scan Clinic (CXR) is an organization that is committed to providing doorstep Radiology & Pathology services to healthcare providers at an affordable cost.
City X-Ray and Scan Clinic is been awarded with very Prestigious Award for Best Diagnostic Center In Delhi Ncr from Times Group.
City X Ray clinic have good network and reach they have several branches amoung Delhi and their contact numbers for online booking are as following : 


1. City Xray Lab Tilak Nagar  Contact Number : 9319119574 
2. City Xray Lab Janakpuri Contact Number : 9319119574
3. City Xray Lab Vikaspuri Contact Number : 9319119574
4. City Xray Lab Naraina Contact Number : 9319119574
5. City Xray Lab Dwarka Contact Number : 9319119574
6. City Xray Lab Paschim Vihar Contact Number : 9319119574
8. City Xray Lab Najafgarh Contact Number : 9319119574
9. City Xray Lab Palam Contact Number : 9319119574
10. City Xray Lab Hari Nagar Contact Number : 9319119574",EEG,https://www.labuncle.com/ctg/eeg/lab/city-x-ray-and-scan-clinic-tilak-nagar-1,https://www.labuncle.com/labDetails/city-x-ray-and-scan-clinic-tilak-nagar-1
City X-ray and Scan Clinic -Tilak Nagar,"5A/34, Tilak Nagar, New Delhi 110018",Get 20-35% Discount & Cashback,"City X Ray & Scan Clinic is the one of the renowned Pvt. Diagnostic set up in  Delhi since last over two decades. It covers complete range of diagnostic investigations for Pathology, Radiology, Cardiology & Neurology departments all under one roof.
The City XRay and Scan clinic has been leader in Diagnostic industry through quality service, regular up gradation with latest technology & new innovations.
All our main Hubs (Tilak Nagar, Dwarka & VikasPuri) are accredited by NABL & NABH for all departments including PCR lab which clearly highlights and reaffirms our faith in accuracy of test results. Apart from this we are associated with various quality conscious associations like VILAC, A.P.P etc. Our test Quality is strictly checked and controlled by a team of experienced doctors, well trained technicians and quality managers.
Besides the above hubs, we have well equipped City XRay branches in  Janak Puri, Hari Nagar, Palam Colony, Naraina Vihar and Vishnu Garden.
City X Ray & Scan Clinic (CXR) is an organization that is committed to providing doorstep Radiology & Pathology services to healthcare providers at an affordable cost.
City X-Ray and Scan Clinic is been awarded with very Prestigious Award for Best Diagnostic Center In Delhi Ncr from Times Group.
City X Ray clinic have good network and reach they have several branches amoung Delhi and their contact numbers for online booking are as following : 


1. City Xray Lab Tilak Nagar  Contact Number : 9319119574 
2. City Xray Lab Janakpuri Contact Number : 9319119574
3. City Xray Lab Vikaspuri Contact Number : 9319119574
4. City Xray Lab Naraina Contact Number : 9319119574
5. City Xray Lab Dwarka Contact Number : 9319119574
6. City Xray Lab Paschim Vihar Contact Number : 9319119574
8. City Xray Lab Najafgarh Contact Number : 9319119574
9. City Xray Lab Palam Contact Number : 9319119574
10. City Xray Lab Hari Nagar Contact Number : 9319119574",EMG,https://www.labuncle.com/ctg/emg/lab/city-x-ray-and-scan-clinic-tilak-nagar-1,https://www.labuncle.com/labDetails/city-x-ray-and-scan-clinic-tilak-nagar-1
City X-ray and Scan Clinic -Tilak Nagar,"5A/34, Tilak Nagar, New Delhi 110018",Get 20-35% Discount & Cashback,"City X Ray & Scan Clinic is the one of the renowned Pvt. Diagnostic set up in  Delhi since last over two decades. It covers complete range of diagnostic investigations for Pathology, Radiology, Cardiology & Neurology departments all under one roof.
The City XRay and Scan clinic has been leader in Diagnostic industry through quality service, regular up gradation with latest technology & new innovations.
All our main Hubs (Tilak Nagar, Dwarka & VikasPuri) are accredited by NABL & NABH for all departments including PCR lab which clearly highlights and reaffirms our faith in accuracy of test results. Apart from this we are associated with various quality conscious associations like VILAC, A.P.P etc. Our test Quality is strictly checked and controlled by a team of experienced doctors, well trained technicians and quality managers.
Besides the above hubs, we have well equipped City XRay branches in  Janak Puri, Hari Nagar, Palam Colony, Naraina Vihar and Vishnu Garden.
City X Ray & Scan Clinic (CXR) is an organization that is committed to providing doorstep Radiology & Pathology services to healthcare providers at an affordable cost.
City X-Ray and Scan Clinic is been awarded with very Prestigious Award for Best Diagnostic Center In Delhi Ncr from Times Group.
City X Ray clinic have good network and reach they have several branches amoung Delhi and their contact numbers for online booking are as following : 


1. City Xray Lab Tilak Nagar  Contact Number : 9319119574 
2. City Xray Lab Janakpuri Contact Number : 9319119574
3. City Xray Lab Vikaspuri Contact Number : 9319119574
4. City Xray Lab Naraina Contact Number : 9319119574
5. City Xray Lab Dwarka Contact Number : 9319119574
6. City Xray Lab Paschim Vihar Contact Number : 9319119574
8. City Xray Lab Najafgarh Contact Number : 9319119574
9. City Xray Lab Palam Contact Number : 9319119574
10. City Xray Lab Hari Nagar Contact Number : 9319119574",HOLTER,https://www.labuncle.com/ctg/holter/lab/city-x-ray-and-scan-clinic-tilak-nagar-1,https://www.labuncle.com/labDetails/city-x-ray-and-scan-clinic-tilak-nagar-1
