Name,Manufacturer,Actual Price,Discounted Price
BCDUO Gel 20gm,* Mkt: Livia Healthcare Llp * Delivery charges if applicable will be applied at checkout,245,245
Bdiff A Gel 15gm,* Mkt: Ipca Laboratories Ltd * Delivery charges if applicable will be applied at checkout,420,420
BELCLIN A Gel 15gm,* Mkt: Bellissa Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,225,225
BELLISSA ACNE Soap 75gm,* Mkt: Bellissa Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,179,179
Bengel AC 2.5% Gel 30gm,* Mkt: Hegde & Hegde Pharmaceutica Llp * Delivery charges if applicable will be applied at checkout,121.63,121.63
Bengel AC 5% Gel 30gm,* Mkt: Hegde & Hegde Pharmaceutica Llp * Delivery charges if applicable will be applied at checkout,166.9,166.9
BENIGLO 2.5% Gel(topical) 20gm,* Mkt: Kivi Labs Ltd * Delivery charges if applicable will be applied at checkout,72.35,72.35
BENIGLO 5% Gel(topical) 20gm,* Mkt: Kivi Labs Ltd * Delivery charges if applicable will be applied at checkout,91,91
BENLITE 2.5% Gel 20gm,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,72.35,72.35
BENXOP 5 Gel 20gm,* Mkt: Salve Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,124,124
BENXOP Face Wash 50gm,* Mkt: Salve Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,225,225
BENZ ADP Gel 15gm,* Mkt: Dabur India Ltd * Delivery charges if applicable will be applied at checkout,299,299
BENZAC AC 2.5% Gel 30gm,* Mkt: Galderma India Pvt Ltd * Delivery charges if applicable will be applied at checkout,121.5,121.5
BENZAC AC 5% Gel 30gm,* Mkt: Galderma India Pvt Ltd * Delivery charges if applicable will be applied at checkout,238.8,238.8
Benzac AC 5% Gel 20gm,* Mkt: Galderma India Pvt Ltd * Delivery charges if applicable will be applied at checkout,159.26,159.26
BENZADAF Gel 15gm,* Mkt: Dermajoint India * Delivery charges if applicable will be applied at checkout,385,385
Benzer 2.5% Gel 20gm,* Mkt: Talent India * Delivery charges if applicable will be applied at checkout,75.5,71.73
BENZOACT Soap 75gm,* Mkt: Medinova Labs * Delivery charges if applicable will be applied at checkout,105,105
BENZONAK 2.5% Lotion 50ml,* Mkt: PRAISE PHARMA * Delivery charges if applicable will be applied at checkout,110,110
